api,access_request_events,api_access_requests,api_access_reviews,api_cognito_scopes,api_documents,api_events,api_gateway_stages,api_reviewer_events,api_reviewers,api_scope_events,api_stage_events,apis,audit_events,client_scope_events,hub_user_events,hub_users,idempotency_records,project_api_key_events,project_api_keys,project_api_subscriptions,project_cognito_client_events,project_cognito_client_scopes,project_cognito_client_urls,project_cognito_clients,project_events,project_member_events,project_members,project_usage_plan_api_stages,project_usage_plan_events,project_usage_plan_key_events,project_usage_plan_keys,project_usage_plans,projects,provisioning_operation_events,provisioning_operations,provisioning_step_events,provisioning_steps,subscription_events,usage_plan_stage_events
approve_api_access_request,CR,R,CR,R,,,R,,R,,,R,C,CR,,,C,,,CR,,C,,R,,,,C,,,,R,R,CR,C,CR,C,CR,CR
create_api_access_request,CR,CR,R,R,,,R,,R,,,R,C,,,,C,,,R,,,,R,,,R,,,,,,R,,,,,,
create_project,,,,,,,,,,,,,,,,,C,CR,C,,,,C,C,CR,CR,C,,CR,CR,C,C,CR,CR,C,CR,C,,
get_api,,,,R,R,,R,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,
get_project,,,,,,,,,,,,,,,,,,,R,,,,R,R,,,R,,,,,R,R,,,,,,
list_apis,,,,R,,,R,,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,
list_project_api_access_requests,,R,R,,,,R,,R,,,R,,,,,,,,,,,,,,,R,,,,,,R,,,,,,
list_project_subscriptions,,,,R,,,R,,,,,R,,,,,,,R,R,,R,,R,,,R,,,,,,R,,,,,,
list_projects,,,,,,,,,,,,,,,,,,,R,,,,,R,,,R,,,,,R,R,,,,,,
publish_api,,,,CR,C,CR,C,CR,C,CR,CR,CR,C,,,,C,,,,,,,,,,,,,,,,,CR,C,CR,C,,
reject_api_access_request,CR,R,CR,,,,,,R,,,R,C,,,,C,,,,,,,,,,,,,,,,,,,,,,
update_project_public_client,,,,,,,,,,,,,C,,,,C,,,,CR,R,CD,RU,,,R,,,,,,R,CR,C,CR,C,,
